,ID,Label,Hemi,Network,regions,x,y,z,
225,226,7Pl_R,R,Superior_Parietal,cortex,78.082592,52.547649,129.927573,
226,227,7PC_R,R,Superior_Parietal,cortex,54.30504,78.639699,133.54244,
227,228,LIPv_R,R,Superior_Parietal,cortex,62.004614,69.61707,125.258362,
228,229,VIP_R,R,Superior_Parietal,cortex,68.916533,63.23114,135.889246,
229,230,MIP_R,R,Superior_Parietal,cortex,63.267232,58.20226,123.986441,
230,231,1_R,R,Somatosensory_and_Motor,cortex,41.860496,104.311709,125.768987,
231,232,2_R,R,Somatosensory_and_Motor,cortex,52.428189,95.303667,122.502292,
232,233,3a_R,R,Somatosensory_and_Motor,cortex,58.537415,105.608844,118.408163,
233,234,6d_R,R,Premotor,cortex,53.27913,114.122216,136.10668,
234,235,6mp_R,R,Paracentral_Lobular_and_Mid_Cingulate,cortex,75.523118,112.953763,140.165054,
235,236,6v_R,R,Premotor,cortex,32.423866,132.818138,103.072554,
236,237,p24pr_R,R,Anterior_Cingulate_and_Medial_Prefrontal,cortex,85.71482,122.438623,112.543413,
237,238,33pr_R,R,Anterior_Cingulate_and_Medial_Prefrontal,cortex,87.197935,136.562823,100.375215,
238,239,a24pr_R,R,Anterior_Cingulate_and_Medial_Prefrontal,cortex,85.926439,145.473348,103.304904,
239,240,p32pr_R,R,Anterior_Cingulate_and_Medial_Prefrontal,cortex,82.475465,140.625212,112.576142,
240,241,a24_R,R,Anterior_Cingulate_and_Medial_Prefrontal,cortex,85.878669,164.201566,70.600783,
241,242,d32_R,R,Anterior_Cingulate_and_Medial_Prefrontal,cortex,83.510986,164.846197,98.791549,
242,243,8BM_R,R,Anterior_Cingulate_and_Medial_Prefrontal,cortex,85.561807,157.006339,117.958003,
243,244,p32_R,R,Anterior_Cingulate_and_Medial_Prefrontal,cortex,82.359393,174.618436,69.042007,
244,245,10r_R,R,Anterior_Cingulate_and_Medial_Prefrontal,cortex,85.146262,172.751896,60.15493,
245,246,47m_R,R,Orbital_and_Polar_Frontal,cortex,57.754386,157.371517,53.686275,
246,247,8Av_R,R,Dorsolateral_Prefrontal,cortex,51.352616,145.949195,120.685614,
247,248,8Ad_R,R,Dorsolateral_Prefrontal,cortex,67.233301,158.5722,113.623772,
248,249,9m_R,R,Anterior_Cingulate_and_Medial_Prefrontal,cortex,83.868691,181.249145,91.301967,
249,250,8BL_R,R,Dorsolateral_Prefrontal,cortex,78.91626,168.845999,120.171207,
250,251,9p_R,R,Dorsolateral_Prefrontal,cortex,71.348837,176.911205,105.233263,
251,252,10d_R,R,Orbital_and_Polar_Frontal,cortex,81.086781,193.730216,74.665468,
252,253,8C_R,R,Dorsolateral_Prefrontal,cortex,50.37308,145.14594,108.576811,
253,254,44_R,R,Inferior_Frontal,cortex,37.055203,145.308467,85.935472,
254,255,45_R,R,Inferior_Frontal,cortex,39.515005,153.265247,72.484511,
255,256,47l_R,R,Inferior_Frontal,cortex,46.146087,158.131594,56.831304,
256,257,a47r_R,R,Inferior_Frontal,cortex,52.625557,178.539747,62.249629,
257,258,6r_R,R,Premotor,cortex,39.694803,135.156311,86.720594,
258,259,IFJa_R,R,Inferior_Frontal,cortex,50.829828,143.133843,95.51434,
259,260,IFJp_R,R,Inferior_Frontal,cortex,54.052897,133.420655,99.677582,
260,261,IFSp_R,R,Inferior_Frontal,cortex,44.515479,155.734341,89.435565,
261,262,IFSa_R,R,Inferior_Frontal,cortex,42.045036,164.740532,73.742068,
262,263,p9-46v_R,R,Dorsolateral_Prefrontal,cortex,43.648143,159.269405,97.278164,
263,264,46_R,R,Dorsolateral_Prefrontal,cortex,54.973373,167.290598,102.286325,
264,265,a9-46v_R,R,Dorsolateral_Prefrontal,cortex,50.407407,178.769841,79.984127,
265,266,9-46d_R,R,Dorsolateral_Prefrontal,cortex,61.307805,176.773458,93.881321,
266,267,9a_R,R,Dorsolateral_Prefrontal,cortex,70.836969,188.89409,90.121777,
267,268,10v_R,R,Anterior_Cingulate_and_Medial_Prefrontal,cortex,87.511155,176.704016,52.646009,
268,269,a10p_R,R,Orbital_and_Polar_Frontal,cortex,66.79639,188.730686,61.363177,
269,270,10pp_R,R,Orbital_and_Polar_Frontal,cortex,79.325648,188.469741,53.417291,
270,271,11l_R,R,Orbital_and_Polar_Frontal,cortex,65.791587,172.746973,54.321224,
271,272,13l_R,R,Orbital_and_Polar_Frontal,cortex,70.701739,152.646957,50.322609,
272,273,OFC_R,R,Orbital_and_Polar_Frontal,cortex,83.615202,158.638955,45.933017,
273,274,47s_R,R,Orbital_and_Polar_Frontal,cortex,60.445039,146.166964,51.135472,
274,275,LIPd_R,R,Superior_Parietal,cortex,60.154362,70.736018,115.630872,
275,276,6a_R,R,Premotor,cortex,64.183119,124.292844,124.65945,
276,277,i6-8_R,R,Dorsolateral_Prefrontal,cortex,58.342047,134.887653,128.925473,
277,278,s6-8_R,R,Dorsolateral_Prefrontal,cortex,70.548089,149.926634,130.08693,
278,279,43_R,R,Posterior_Opercular,cortex,34.231572,127.220516,81.591523,
279,280,OP4_R,R,Posterior_Opercular,cortex,31.065974,115.43372,85.110568,
280,281,OP1_R,R,Posterior_Opercular,cortex,45.814286,107.14898,89.419388,
281,282,OP2-3_R,R,Posterior_Opercular,cortex,51.053528,111.892944,90.335766,
282,283,52_R,R,Early_Auditory,cortex,52.031915,105.12766,73.634752,
283,284,RI_R,R,Early_Auditory,cortex,46.93904,94.059663,90.975357,
284,285,PFcm_R,R,Early_Auditory,cortex,42.446673,98.010939,94.233364,
285,286,PoI2_R,R,Insular_and_Frontal_Opercular,cortex,50.080778,122.827214,71.63067,
286,287,TA2_R,R,Auditory_Association,cortex,39.836312,130.301644,63.779843,
287,288,FOP4_R,R,Insular_and_Frontal_Opercular,cortex,50.523336,141.361132,77.437643,
288,289,MI_R,R,Insular_and_Frontal_Opercular,cortex,52.77037,135.922222,73.7,
289,290,Pir_R,R,Insular_and_Frontal_Opercular,cortex,57.555081,133.362084,52.703672,
290,291,AVI_R,R,Insular_and_Frontal_Opercular,cortex,58.445161,150.95914,67.72043,
291,292,AAIC_R,R,Insular_and_Frontal_Opercular,cortex,54.936552,141.408966,60.337241,
292,293,FOP1_R,R,Posterior_Opercular,cortex,43.638509,131.004969,75.765217,
