,ID,Label,Network,x,y,z,colors
407,408,R_Accumbens,Subcortex,10,12,-7,#6BD3FF
408,409,R_Amygdala,Subcortex,24,-4,-20,#6BD3FF
409,410,R_Caudate,Subcortex,14,9,10,#6BD3FF
410,411,R_Hippocampus,Subcortex,27,-21,-14,#6BD3FF
411,412,R_Pallidum,Subcortex,21,-4,-1,#6BD3FF
412,413,R_Putamen,Subcortex,26,3,-1,#6BD3FF
413,414,R_Thalamus,Subcortex,12,-18,7,#6BD3FF
414,415,Cereb_Visual,Visual,0,0,0,#A76CD4
415,416,Cereb_Somatomotor,SomMot,0,0,0,#6C92D4
416,417,Cereb_Dorsal Attention,DorsAttn,0,0,0,#3C9F4D
417,418,Cereb_Ventral Attention,VentAttn,0,0,0,#E586E5
418,419,Cereb_Limbic,Limbic,0,0,0,#F6EFD1
419,420,Cereb_Fronto-Parietal,Control,0,0,0,#FDB841
420,421,Cereb_Default-Mode,Default Mode,0,0,0,#D77C7C
