,ID,Label,Hemi,x,y,z,n_vertices
124,240,L_Visual_16,L,-43.53089,-73.36374,-10.218091,61
125,241,L_Visual_17,L,-25.175055,-97.16214,-12.384691,61
126,242,L_Visual_18,L,-22.93024,-82.57593,-13.246451,108
127,264,L_SMhand_1,L,-19.346682,-50.130344,66.749794,111
128,265,L_SMhand_2,L,-9.978739,-46.83784,60.33941,18
129,266,L_SMhand_3,L,-17.589424,-32.39414,67.1893,72
130,267,L_SMhand_4,L,-11.777116,-30.14702,69.85247,30
131,268,L_SMhand_5,L,-7.862636,-19.75015,75.54121,14
132,269,L_SMhand_6,L,-9.929934,-42.98956,64.48348,56
133,270,L_SMhand_7,L,-3.9079983,-27.939539,61.203804,77
134,271,L_SMhand_8,L,-6.032428,-16.287603,49.253807,40
135,272,L_SMhand_9,L,-36.573326,-25.870653,55.13501,106
136,273,L_SMhand_10,L,-36.12849,-20.205507,59.872997,64
137,274,L_SMhand_11,L,-21.745266,-26.400015,62.202206,32
138,275,L_SMhand_12,L,-23.672714,-14.286493,65.0275,83
139,276,L_SMhand_13,L,-16.892427,-8.220041,68.37905,37
140,277,L_SMhand_14,L,-29.514174,-46.0091,59.77067,53
141,278,L_SMhand_15,L,-54.4794,-23.210567,39.10832,27
142,279,L_SMhand_16,L,-38.120827,-35.714493,42.965904,104
143,280,L_SMhand_17,L,-29.430586,-36.53533,61.742897,52
144,281,L_SMhand_18,L,-47.416775,-29.4848,54.7961,56
145,302,L_SMmouth_1,L,-52.163414,-7.374332,37.099197,74
146,303,L_SMmouth_2,L,-42.54044,-13.09531,49.117725,34
147,304,L_SMmouth_3,L,-53.333782,-12.23538,30.958963,159
148,305,L_SMmouth_4,L,-46.127834,-18.144798,50.633125,26
149,310,L_Auditory_1,L,-37.09506,-26.481243,13.147016,58
150,311,L_Auditory_2,L,-47.63823,-40.05361,22.199146,25
151,312,L_Auditory_3,L,-38.40095,-31.097008,17.59157,22
152,313,L_Auditory_4,L,-54.57441,-20.67689,4.5263796,72
153,314,L_Auditory_5,L,-59.134583,-37.54601,14.168008,36
154,315,L_Auditory_6,L,-60.535862,-28.008194,7.558053,33
155,316,L_Auditory_7,L,-42.59671,-35.473385,12.033219,36
156,317,L_Auditory_8,L,-35.42569,-23.422808,8.938327,19
157,318,L_Auditory_9,L,-38.952576,-13.812563,15.034554,55
